adamtsl3,akt3b,ambra1,anp32e,apopt1,arhgap1,arl3,arl6ip4,astn1,atxn7,bag5,bcl11b,c10orf32,c11orf87,c12orf65,c2orf69,c2orf82,ca8,cacna1c,cacna1i,cacnb2,chrm4,chrna5,chst12,ckb,clcn3,cnksr2,cnnm2,cntn4,csmd1,csmd3,cyp17a1,dgki,dgkz,doc2a,dpyd,egr1,elfn1,ep300,epc2,fam5b,fes,foxg1,foxg1het,fpgt,ftcdnl1,fut9a,fxr1,galnt10,gatad2a,gigyf2,glt8d1,gpm6a,gramd1b,gria1,grin2a,grm3,gtdc1,hapln4,hcn1,immp2l,ina,ireb2,kcnj13,kcnv1,kctd13,kif5c,klc1,kmt2e,lrriq3,lrrn3,luzp2,mad1l1,man2a1,man2a2,mbd5,mdk,mir137,mmp16,nab2,ncan,nck1,negr1,nfkb1,ngef,nrgn,ntm,nxph4,ogfod2,otud7b,pak6b,pitnm2,plch2a,plcl1,ppp1r16b,ptn,ptprf,r3hdm2,rgs6,rora,satb1,satb2,sbno1,sdccag8,sept3,sez6l2,shisa9,shmt2,sipa1l1,slc32a1,slc35g2,slc38a7,slc39a8,snap91,snx19,srebf2,srpk2,srr,stat6,sybu,syngap1,tbc1d5,tcf20,tcf4,tle1,tle3,tmtc1,tsnare1,vrk2,znf536,znf804a,zswim6
Dark flash block 4 end,0.521636869594,0.395257825251,0.00157367043903,0.481690720297,-0.394086452671,-0.0229366586475,0.565836501751,0.338694272868,0.390001012292,0.0112623997675,-0.363712504989,-0.00550366132475,0.376978546347,0.425412868412,-0.423659910394,0.0172465772347,0.333341202108,-0.421552668786,0.00991806790378,0.0273633579008,0.449642489643,0.0280129261189,-0.359532146818,0.0140151693157,-0.457022720819,0.0100452683982,-0.348138172767,-0.403164020197,0.475996257445,-0.0170620203488,-0.00939312839755,-0.42845266983,-0.744178121819,-0.407466451717,0.501588708755,0.449247846712,0.44618278432,-0.00982797694121,0.0260881481681,0.465503284108,-0.340746966356,0.0407383679987,-0.0277007767293,0.454347764631,-0.412465785602,0.631515997087,0.591746885356,0.279470383384,-0.656590478324,0.509493872443,0.0136643954676,0.0232272431418,0.437393218733,-0.0350408607116,0.0259206264043,0.0159801920591,-0.257599937193,0.493780770739,-0.283243243894,-0.340199699989,0.40967573583,0.383690319541,0.498320298635,-0.573792171207,0.479838831806,0.686926744543,0.627364701902,-0.015432349419,-0.00569960145953,-0.536458285468,-0.0187644492188,0.388576568569,-0.0256802998742,0.179978463423,0.28270969783,0.638581936275,0.0326786941721,0.575628323721,-0.352257327641,-0.384820636048,0.303430929925,0.387360372861,-0.509631379519,0.469862751986,0.624616495569,-0.538324956474,0.452597998549,0.0241907493897,0.318431289609,-0.0304562082851,-0.670503983427,-0.00656487619218,0.34095848535,0.0215331329102,0.547368757522,0.566262306539,0.0104296877495,0.429787374515,0.332135508992,-0.553012492498,-0.0196883492941,0.0267732745681,-0.342832140957,0.479287185139,-0.677475641118,-0.410756085935,0.0263964729356,0.586050343348,0.594098337981,0.443617761123,0.455863242825,0.0226235552988,-0.543405449353,0.0018141307402,-0.507311730522,-0.276002855713,0.507541498646,0.464405973378,0.697617852341,0.546265179479,0.357261861459,0.365330222251,-0.540464598862,0.0220163995436,-0.421660241985,-0.263496555373,0.622654418137,-0.0219649606139,0.0214091796927,0.471713225361,-0.477546984297,0.60610093195
Dark flash block 4 start,-0.588849829189,0.339860959838,-0.00384575026723,0.482958331116,0.00446533049529,0.0192014593049,0.400745313302,-0.313581835005,0.00877865331022,0.331288043968,-0.505624695135,-0.0142262052085,0.529941214771,-0.569693956544,-0.404717927554,-0.00619448579843,0.514716651227,-0.41831839065,-0.00933863674866,0.365718517352,-0.0365039079881,0.025381761487,0.00956218962786,0.0316962121402,-0.0361614292227,0.0145400057598,0.530021390079,-0.00299421857685,-0.563018060635,-0.0131461043107,-0.0167064599321,0.525861894792,-0.649184718591,0.00294972108512,0.489039389294,0.459507669661,0.0196489444338,-0.0126133430068,0.0170136786942,0.578783649105,-0.0121904833648,0.410658037127,-0.00392066885553,-0.698393734276,0.0180527150414,0.69738362962,0.504779565213,0.385599084226,0.399954846591,0.508723937999,0.00683699383016,-0.496100608792,-0.377124059273,-0.0241553572239,-0.019522910311,-0.0174637046916,-0.0233190208029,0.428165814165,-0.446185389489,0.341435792074,0.0131810364197,0.558987131158,-0.285666092778,0.0369366971627,0.548882859177,0.567003087935,-0.376661579614,0.351011149872,0.000302435453608,0.386404130172,-0.0316510833182,0.0213556659159,-0.289780758432,0.44787800839,0.0223154991826,-0.325615511135,-0.0201379161659,0.512244269521,0.295410267942,0.461115423288,0.00612656961685,-0.0324592249517,-0.513158205292,0.551457377092,0.0373418071312,-0.429612067626,0.016699685828,-0.246916250901,0.0108738380005,-0.341961029618,-0.557184104045,-0.0075389519357,0.00252182445839,0.0125709877826,-0.717569486058,0.642630308596,-0.0184074413904,0.526036320495,0.408223558879,0.0443904336475,-0.321865762492,-0.420706488848,-0.0254720309721,0.0244065654744,-0.578812565469,0.397099998637,0.00349827701157,-0.0278453361373,-0.418469844163,-0.473547970589,0.0287376078514,0.546813667505,0.495639266031,0.00880681253445,-0.450135165369,0.56234905284,0.380638085928,-0.435738416349,0.640263066882,0.689541999511,0.292205935226,0.491504963452,0.0224614277636,-0.511815426412,0.426224505083,0.335984162295,0.484603764164,-0.0133188423365,0.352433757638,0.27572736385,-0.531570895866,-0.559417679048
Dark flash block 3 end,-0.444430561784,0.0220705280416,0.016530473287,-0.582739178966,0.46617893585,-0.234092689834,0.0323512149877,-0.668377382263,0.427494783358,-0.0154820059317,-0.364345617074,0.35270962608,-0.02836419124,0.456451372803,-0.528075838561,0.0119821893239,-0.427549038758,0.48262334736,0.0193888212338,-0.529194730313,-0.334882017017,-0.0190766641394,0.0208077076158,-0.343696339821,0.0369778599126,0.0120745643378,0.532647131131,-0.0186431457397,-0.0184407200161,-0.0100275081118,-0.0304668400148,-0.238555372018,0.522019419407,0.420749962569,-0.546151191716,-0.0182688412616,0.405299534736,-0.0356730448069,-0.0097233303885,-0.623645435819,0.325111827943,-0.3342163138,-0.0171453307366,-0.332231323373,-0.337093836241,0.508974458316,0.494913778336,0.469270383616,0.600121218655,-0.304482496722,0.00359743390947,-0.377123912197,-0.283737724553,0.0232481721791,-0.236635514823,-0.0039433367521,-0.0122036878378,-0.531645496154,-0.0415436935032,0.434149618359,-0.020632239875,-0.39286524413,0.0122486832284,0.0222285311558,0.589209608033,0.785928636538,-0.500263932414,0.0306238415294,0.00926727048281,0.383749029786,-0.0102551584576,0.0107378812445,0.205702176364,0.020979104268,-0.374422600158,-0.334658348852,-0.458927421002,-0.0270514758279,-0.0317075945013,0.54647459286,-0.019868580923,-0.0293805816891,-0.654206119257,-0.685124066605,0.55610008758,0.0120533666165,-0.0234793448722,-0.295936080994,0.340223675303,-0.0129620323118,-0.493076645307,-0.00481513096732,0.395011545475,0.0315859053713,0.386675443551,0.425748402468,-0.0149223273917,0.55092096423,0.500563222982,0.361528560199,-0.0191781247421,-0.320653142281,0.293270330211,-0.451741850694,-0.0167042154866,0.524153968859,-0.0186882313821,0.389533852308,0.660409089718,-0.492434579707,0.410910498656,0.511668635271,-0.641187164632,0.0125734465583,-0.31933414929,0.450562514662,0.28293263064,0.483194260036,0.436993920409,-0.720082701933,-0.0244832397522,-0.598184615259,-0.433144801205,0.390672262491,-0.0241184703668,0.0294034639245,-0.467056273775,-0.0302399081793,-0.37058984436,-0.495352246286,-0.523997527671,0.292869706561
Dark flash block 3 start,-0.409072723282,0.0174386611555,0.0119512417691,-0.591114548003,0.521385925359,-0.00732773195418,0.609511745939,-0.405424219598,0.0156076003611,0.0168288433656,0.437301418474,-0.00876645716024,0.599935490298,-0.543192783306,-0.518470800528,0.0161389297797,-0.0139835195698,-0.0137384837908,0.320176500087,-0.474242574063,-0.026382655026,0.0219017203373,0.0249641169998,0.0230314634628,-0.0238403700639,0.00655229471401,0.640694417144,0.0297160261477,0.591312395745,0.0197592045266,0.0258271472714,0.560809309654,0.480565368362,0.013998666571,-0.415993657897,0.0259297169275,0.220991204075,-0.00881586987112,-0.0266950692294,0.0237746047364,-0.0132104268047,0.459852519888,0.00505720224673,0.465116170415,0.0125039038021,0.427278655585,0.336943218229,0.474524112252,0.0287765770186,0.424748070793,0.00719847384536,0.479009797463,0.0427171238526,0.323910001544,0.0319732682495,-0.0118796604133,0.317390582045,-0.490797758858,0.604319621191,-0.0168011370067,-0.533423814218,-0.413064578068,0.376238175552,0.484822348987,-0.502107968239,0.591923149728,0.458017557779,-0.0127475841749,0.00772873562694,0.624799677452,-0.0479295717725,0.00495865964584,-0.0137639515167,-0.460984837708,0.288232079791,-0.346577931621,-0.385109469368,0.414297805538,-0.0103893449395,-0.0275158478131,-0.387469264118,-0.418706798192,-0.544090685513,-0.419978563113,0.0286923596328,-0.47573643075,0.0118825419727,0.0306892011882,-0.630091884362,-0.0314386701087,0.638234254972,-0.0104815287738,0.412477892579,0.0248775202843,0.451099012962,-0.347615189492,-0.0209987620204,0.674980874124,-0.373474832698,0.0182964029337,-0.364434655981,-0.448329498972,0.0253233039091,0.377375053816,-0.549967317644,-0.398172317287,-0.0209388128517,0.368252078992,0.568147453116,0.556362375735,0.0251906961001,-0.549811689051,-0.720071280945,0.00815953729863,0.199497454802,-0.0240627588185,0.349058110922,0.626244246379,-0.519032190025,0.535455466003,0.366214297057,0.499533789057,-0.621494159505,0.323917022031,-0.485379462499,0.359754658746,-0.0221275367895,-0.0171976226039,-0.0331199758949,-0.281153736217,-0.213981424415,-0.728056364031
Dark flash block 2 end,0.434838505973,-0.0316940950105,-0.00977011885324,-0.525559118405,-0.225919987508,0.00267330353405,0.524835738656,0.596220109895,0.446227167151,0.0295652388099,-0.460691147471,0.00598596923145,0.427014769976,-0.586502251272,-0.425560592565,-0.0147945198303,-0.366608831763,-0.452588600664,-0.355700129249,-0.408274197963,-0.381447947329,0.0163405565832,0.0154044640099,0.0335591156618,0.386830535401,0.0167569471687,-0.0263689551139,0.0160571055528,-0.530426753485,-0.353279593976,-0.015647645703,-0.430107683535,-0.676502800523,0.356199827088,0.49998143301,0.0259151956392,0.434763199824,-0.0178079485827,-0.0181983483682,0.526351404684,-0.326378195329,-0.497769187778,0.0168890559521,0.423597113823,-0.00639807980736,-0.438133232465,0.455167316801,-0.486552869701,0.475585414255,-0.0219775995478,0.00597646588764,0.44657773735,-0.0309277579938,0.0111678640995,-0.427793108165,-0.0104231949161,0.437542082678,-0.433964577202,-0.440832378496,-0.0319839411659,0.0138067855274,-0.391824768041,0.0346100389431,-0.727778081306,0.221656206026,-0.593282494344,-0.586153583556,-0.393776833561,0.00172881987021,0.361129349997,0.0404239793369,0.0264979838173,-0.0189238698074,0.269062645468,0.359528758844,0.3788891185,-0.303431610052,-0.018109506206,-0.390098210252,-0.342890071096,0.39090862722,-0.0150747387553,-0.504075845819,0.0246911148823,-0.65741978231,0.401059144463,0.0384219040441,0.435409685855,0.368706141143,-0.412850904649,0.545636449713,-0.00253320612288,0.291536054404,0.0196090460411,0.517007663541,-0.677564176438,0.0152933095378,0.667799893064,-0.384380855202,0.0397610704686,0.285940117699,-0.52029002608,-0.0313182811942,0.374383710001,-0.418264732982,-0.538523812198,-0.0255089833949,-0.369737107754,0.396414498483,0.491059516574,0.456123292302,0.453406788735,0.590879054743,0.0194137480208,0.0265217440313,-0.437926983647,0.0132190491407,-0.426509308071,0.532276808977,-0.512992220746,-0.385895030153,-0.0418898029851,0.364959701563,0.416348047813,-0.631875699952,-0.432825600385,-0.475714942974,-0.259695620061,-0.0330674343688,-0.364567751474,-0.0134242814757,-0.626268497702
Dark flash block 2 start,0.394699790063,0.0305478760828,-0.0190651459565,-0.249833786968,0.0190332860382,-0.0176525219168,0.428958674272,-0.48857345469,0.0119443634418,0.00751079058726,-0.417169146798,-0.0184617084403,0.0302728492854,0.514639612233,-0.554731084479,-0.0231579873891,-0.190659300849,0.494458697801,-0.372541818701,-0.512484788497,-0.320547858443,-0.018702429168,0.4523854816,-0.40581161044,0.321401326598,0.0250911894169,0.456463208596,0.00378702082501,-0.479006951551,-0.357925276292,-0.00782923090213,0.504889447118,-0.469673632926,0.00927917659288,-0.529231838622,0.372230436652,0.018986145792,-0.0046502961386,0.210650238098,0.574392738071,0.0232950403786,0.432985207318,0.0245110421875,0.035485580611,-0.00667092711368,0.350292199894,0.635504181136,0.417520118488,0.30970264742,-0.319322462663,-0.0135920381522,-0.469035929534,-0.0263025584554,0.0210289212077,0.0271687019913,-0.018532019122,-0.367753602877,0.0270475358603,-0.559237367209,-0.0332202447063,0.0297196057714,-0.430158709785,0.35359371551,-0.527693985955,0.513261981666,-0.687475309564,0.440844461275,-0.386602616531,0.00866074646588,0.620894644839,-0.0407720984668,0.0110125533534,0.313284095088,0.275898980816,0.0201897294474,-0.0406405603269,-0.443819521039,0.568314746898,-0.0149985131835,-0.442799849908,-0.0092149989203,-0.320271915955,-0.620209276152,0.565240939545,0.53318057043,0.512716826352,0.0167203775357,0.299294218612,0.571334160776,-0.483375423444,0.509150521264,-0.00341163690892,0.611263240852,0.0226300536137,0.495616339114,0.630056049887,0.0145076185744,0.495334400071,-0.366307266447,0.0207493116293,-0.394665995972,-0.0207162840826,-0.000382308317194,-0.366394346665,0.523831310798,0.514885363416,0.00987359838463,-0.322593518772,0.626528746259,0.41257846916,-0.444036737601,0.589784432446,-0.593095458941,0.0161352386414,0.425944418687,-0.446848018808,0.351844599821,-0.621713371085,-0.491968594742,0.583836548887,0.379134779878,0.525244024884,-0.596923299612,0.404535383254,0.238070551277,-0.37180417315,0.500988933829,-0.00998477049338,0.0205989314069,-0.285569401456,-0.0378560051378,-0.024048610023
Dark flash block 1 end,-0.480040775299,0.0219458077252,0.015281631307,-0.405336976946,-0.501732535075,0.0243361232557,0.509089621896,-0.471462037437,-0.0294365319964,0.358721812988,0.466899152737,0.0165492979702,0.369806019296,-0.426651812362,0.605251665212,0.0187085828035,-0.46241763047,-0.0200322985192,-0.0302156298634,-0.593417530414,0.474275891274,-0.402467206723,0.0304462556353,0.0390414114085,0.0312870420348,0.0174843797314,-0.589330287504,0.354524271019,-0.365924465588,-0.0139324721177,-0.016068949005,-0.334473739595,0.331217919456,0.390594041325,0.388253067514,0.482772894757,0.372452991836,-0.0192917003282,-0.0190995061748,0.650206919413,0.37787806789,-0.463993597789,-0.0317575031354,-0.544136034204,-0.00523395890018,0.374577270133,0.0332724179683,0.473255981003,0.57295142037,-0.483707826717,0.00837276214187,-0.0221186803127,0.35402057372,0.388406304624,-0.274049186591,-0.011200817341,-0.432288179417,-0.629106826909,-0.458250690287,0.351485641781,-0.521344385984,0.0254270084686,0.287046353495,0.745284647675,-0.597264822154,0.631468864219,-0.427545261434,-0.466043754124,-0.0127649952069,0.539149715204,-0.0317554908117,0.0109051911986,-0.314510437294,0.392503134583,0.0134477720501,0.452342332346,-0.354744143852,-0.481745515157,-0.00869672782545,0.48129788782,-0.0403536133974,-0.0315746907917,0.525065621522,-0.447053899014,0.506231799854,-0.485371455642,0.0231613561116,0.0240324993641,0.514004549902,-0.00766580491102,0.538150346364,-0.00379594710666,0.471091015481,0.0117256477417,0.0118352281203,-0.621642042969,-0.0147021683343,0.268694578898,-0.0167509566574,0.0249617409807,-0.0127609692683,-0.3525794138,-0.399325109308,-0.00928378379508,-0.59313765214,0.469066031024,0.0322634616435,-0.0240367842664,-0.525996949495,0.670971267701,0.0383689163374,0.376815688379,0.478144866161,0.0163556063262,0.549382914772,0.342258976958,0.328431226795,-0.410658428963,0.670386903222,-0.488630197778,-0.323254362103,0.421598118552,0.434866172489,-0.461236986328,0.534538870103,-0.387702801512,0.3549149881,-0.373327447876,-0.0221362712286,-0.455717638497,-0.323486454892,0.0212225091847
Dark flash block 1 start,-0.491694635763,0.0139582833237,0.0159778454191,0.515580335951,0.471722871279,-0.473100193087,0.551341368408,-0.319166896075,0.0151344944087,0.0210138426526,0.38299639112,0.0166335345221,0.236602374092,-0.383565978267,0.597804746388,0.0114973679438,0.52247635127,0.415547939628,0.0319181727577,-0.361256309486,0.0218560184506,0.0296870316323,0.393501927952,0.366990268306,-0.0216154010146,0.00747895591627,-0.619929923669,-0.0183586630219,-0.57125850357,-0.279863468643,0.0268109515378,-0.0231129137569,0.548087168906,0.00942015107257,0.23985846345,0.037185227243,0.326360708646,-0.00708441614987,-0.00857625536671,0.486736163001,0.0149074457155,0.305918404773,0.0102442792273,-0.58521021811,-0.00615800752705,0.634088833585,0.462120001178,0.462664521425,0.475404698514,-0.443074239781,0.00714621351422,0.0214142295839,-0.013213179665,0.0136853288302,-0.0273343568413,-0.0141532979906,-0.456136262962,-0.491673656415,-0.0139049841244,-0.0197644496554,0.488833169718,0.435709485428,0.0305080956002,-0.574224189993,0.285082664751,-0.5558191518,0.727853805719,0.038202408428,-0.00861873279813,0.422022588302,-0.0166584452933,0.00675038531213,-0.0315923714536,-0.571970372127,0.0225454629,-0.0314443461651,-0.358926570889,0.443531693693,-0.0156818517474,-0.0153515220307,0.0303363495445,-0.367444865135,0.626182804671,-0.372463474444,-0.662445648117,-0.430879560831,0.0211628016613,-0.391375125551,0.366542209173,-0.46646133207,-0.606695175985,-0.0103172453682,0.0246892660623,0.0158255455175,0.62897349387,-0.607440024966,-0.0192268787235,0.0243284878983,-0.0190421521904,0.0268071705469,-0.00882385433181,0.477312138332,-0.00304034159457,-0.441211739766,0.703597731096,0.665512085274,0.26827854252,0.371724481778,0.753620452481,0.454308552787,0.437404440868,0.518698712497,-0.405071361751,-0.0133135155164,-0.470414232592,-0.441295236878,0.552493551231,-0.468314930101,0.679847985541,-0.506414203579,-0.0156077368649,0.554931048582,0.701334850101,-0.328866862704,-0.0272396682503,0.0260129161854,-0.406355207041,-0.0312396448888,0.373670625313,-0.465923743436,-0.0258228167293,-0.502557046932
Night light flash,-0.237288576249,0.254213223604,-0.220149995982,0.34075637357,0.496098339993,-0.341540435071,-0.499580151062,-0.577100223582,0.379202979091,0.36302514865,-0.47058400001,0.0293608044156,0.20936008131,-0.562510803093,-0.506072872618,0.0357595263936,-0.392439338781,0.302250723048,-0.33053249693,0.446182553328,-0.0264962242887,0.0413046214807,-0.349925780162,-0.0283113984393,0.537535321082,-0.374831259293,-0.416567122881,0.0121491489371,0.618555633876,-0.367124506517,-0.433738301577,0.486879909785,-0.502565850431,0.399640220338,-0.443246173479,0.381472423697,0.382851577185,-0.395975937903,-0.33244773927,0.593730478957,0.507327306997,0.460508629943,0.297614614472,0.00244333115123,0.318252480387,0.587136375873,0.343047125945,-0.423488566246,-0.648570915482,-0.420071549617,-0.458195003551,-0.384474225043,-0.0293238351904,0.269847657807,0.225714088475,0.0285390912633,0.341507303011,-0.256803433558,0.461580929987,-0.329112381319,-0.394393546301,-0.521260500447,0.354608303483,0.536853565145,-0.495630170726,-0.605782278685,0.57382782977,-0.476153122801,-0.404175519376,0.0239716904492,0.035900826206,-0.348226639842,0.353460615483,0.483530473252,0.41984403272,-0.631498845354,-0.405178200475,0.413339387738,0.334192654756,0.578420392458,-0.256524301191,-0.518089513699,0.64142308153,-0.397062118401,0.534389466272,-0.402037327914,-0.0221871744106,-0.427631036871,-0.548466218357,0.462069356426,-0.647574794678,-0.548958260432,0.319740506722,-0.322446497987,0.620037270202,-0.442841637256,0.344455165236,-0.501897493067,0.379202753588,0.177879852627,0.302642432751,-0.319795230817,0.0237649795233,0.315220619339,-0.717496487067,0.468869453242,-0.361514097178,-0.417578190267,0.488199699491,0.0258227526257,-0.29401380187,0.569196060704,0.612585405543,0.413399144723,-0.461314597691,0.520815279266,0.352335512194,0.511399735358,-0.360636092457,-0.440357415525,0.0195771844031,0.424923360256,-0.652772322513,-0.445147057485,-0.500096710501,-0.330291171937,0.386472568062,-0.361918254079,-0.312613105797,0.342276584484,-0.482594371777,0.489958352511
Day light flash,-0.478599210678,0.318086467611,0.367461159416,0.44871101548,0.548697868628,-0.423328123808,0.329721327592,-0.520925442752,-0.398786388661,-0.373737448549,0.509539331568,0.0206009976812,0.307178047034,-0.504816018766,0.56037659282,0.0246666688162,0.439893540415,-0.469051911458,0.485101081118,-0.571776445271,-0.0139536763527,-0.0177517424273,-0.463042008706,0.25623956025,0.308445388002,-0.012708015653,0.571843208304,0.300530234426,0.626170329832,-0.212272002712,-0.478587343805,0.357662672636,0.48622290033,0.365987510365,0.377746568061,0.429825814014,-0.31423843386,0.00319585394214,-0.34426665349,-0.655013463698,0.345626922501,-0.0272812908961,-0.373426243008,-0.56165313128,-0.00753135449956,0.509996974376,-0.418039376478,-0.645437268951,-0.488718941337,-0.42963454211,-0.0142576822758,-0.363420642454,-0.279641667048,0.302068651844,0.403078181071,0.252663129413,0.452896052814,0.548101627833,0.495275639314,-0.360219355121,0.57189072369,-0.410103029597,-0.00812267364871,-0.598046452944,-0.416142498389,0.545446072633,0.427747992233,0.55230329754,0.00570278429577,0.36443343799,0.010459481647,0.27445805358,0.319709278405,-0.61406988658,-0.360870456921,0.444146825923,0.476032090202,-0.238769706582,-0.317072180558,-0.410658853944,0.43187434138,-0.239530818492,0.37696632111,0.386916742821,0.650073643152,0.389179406131,-0.388725182299,0.396593348213,0.63045857172,0.420211927621,0.794767496053,-0.0198935744533,0.503266386131,0.385565935555,-0.382768387941,0.286598377467,-0.0157274834953,-0.00988294580279,-0.307316731556,0.27078386137,0.0410676099061,0.423786108503,-0.00511742474068,-0.345307089424,0.483435462561,0.409399960062,-0.361234474814,-0.342187941312,-0.398135394721,0.268741355427,0.480870558641,0.420330808443,0.492421046037,0.00904622227852,-0.0187629919235,-0.581986230165,0.330473739843,0.421623666252,-0.380946259433,0.611731963965,-0.277907009518,-0.49718811896,0.437640160137,-0.349389929974,0.434243034982,0.0323274099209,0.462462191024,-0.280982807697,-0.0278374474579,0.412439003473,-0.43498632349,0.400997792239
