adamtsl3,akt3b,ambra1,anp32e,apopt1,arhgap1,arl3,arl6ip4,astn1,atxn7,bag5,bcl11b,c10orf32,c11orf87,c12orf65,c2orf69,c2orf82,ca8,cacna1c,cacna1i,cacnb2,chrm4,chrna5,chst12,ckb,clcn3,cnksr2,cnnm2,cntn4,csmd1,csmd3,cyp17a1,dgki,dgkz,doc2a,dpyd,egr1,elfn1,ep300,epc2,fam5b,fes,foxg1,foxg1het,fpgt,ftcdnl1,fut9a,fxr1,galnt10,gatad2a,gigyf2,glt8d1,gpm6a,gramd1b,gria1,grin2a,grm3,gtdc1,hapln4,hcn1,immp2l,ina,ireb2,kcnj13,kcnv1,kctd13,kif5c,klc1,kmt2e,lrriq3,lrrn3,luzp2,mad1l1,man2a1,man2a2,mbd5,mdk,mir137,mmp16,nab2,ncan,nck1,negr1,nfkb1,ngef,nrgn,ntm,nxph4,ogfod2,otud7b,pak6b,pitnm2,plch2a,plcl1,ppp1r16b,ptn,ptprf,r3hdm2,rgs6,rora,satb1,satb2,sbno1,sdccag8,sept3,sez6l2,shisa9,shmt2,sipa1l1,slc32a1,slc35g2,slc38a7,slc39a8,snap91,snx19,srebf2,srpk2,srr,stat6,sybu,syngap1,tbc1d5,tcf20,tcf4,tle1,tle3,tmtc1,tsnare1,vrk2,znf536,znf804a,zswim6
adamtsl3,1.0,-0.0450489961797,0.00315194571807,0.0112240188918,0.00478038776491,-0.0121589962856,0.0479885673517,0.0672035746282,-0.0622961916455,-0.00472139645838,-0.0569263306708,-0.0370260273482,-0.190523380254,0.00084377903607,-0.00476494393957,0.0203539772239,-0.0220230019597,0.0113896082776,0.0223980271841,-0.0103225386342,-0.0401532240219,-0.0340868697583,-0.0408264209564,-0.0603018261997,0.0635856843069,0.0270972822437,-0.0639497167003,-0.0692090766308,-0.000433365304682,-0.0770565239597,0.026864878018,0.0290306589668,-0.0171107239525,0.100059060696,0.0424553920356,-0.11695287425,-0.0397005150635,-0.0187419927336,-0.00233022281617,-0.116190942782,-0.0102846332564,-0.00928027428397,0.0450417684853,0.0453829582804,0.0208411909173,0.0209395181485,0.0369787853255,-0.0100982391002,-0.0133551498693,0.023640414115,-0.041915515772,0.037183922267,0.0314192569099,-0.0336857235132,0.0116302348632,-0.0749467288014,-0.0163732878088,0.00956161035716,0.00121921029745,0.0820665021346,0.0958939354963,-0.026507439444,-0.00243027211297,-0.075204568974,-0.0215203255858,0.0175159130146,-0.0300843623581,-0.0165174992631,-0.00961467979627,-0.0135201168195,0.00242605184714,-0.155891791671,0.00413370085281,0.0605083234847,-0.0744700582708,0.0317413845214,0.0276265371355,0.0101729436244,-0.0213605251253,-0.0157590286138,-0.0562824391326,-0.00773472633933,0.0939464832898,0.0296271017032,-0.00414271844324,-0.0655285778592,0.0746403107767,0.0130800710262,0.00218508280964,-0.0049082155707,-0.0197404107434,-0.0737793972126,-0.00612914066539,-0.00075013345655,-0.0050247504585,0.0340208845643,-0.00343330719151,0.022332904658,0.192270635421,-0.0053155139266,0.0322186744164,-0.00862438804371,0.0810852471907,-0.0494481803684,-0.0370432841282,0.00744388752272,0.0324687792185,0.0899075628966,0.00906295672423,0.15772643021,-0.0383401986549,0.111332450305,-0.0211180524994,-0.0302759242939,-0.0344907652008,0.0230239005944,-0.0225279347664,-0.0428602279882,-0.000222706904139,-0.0243501289627,-0.0555820244256,-0.0137674559389,-0.0351136133398,0.0522516939465,0.112515336971,0.0658767807451,0.0321528790187,-0.0136962677886,-0.0101279210691,-0.0145675742865,0.00192302745794,0.125408330076
akt3b,-0.0450489961797,1.0,-0.019749283227,0.0350332557975,-0.0273888958236,0.0429355333954,0.0795787760116,-0.0829505546049,0.108222200476,0.0363898996546,-0.0533651997013,-0.0199052237722,-0.0187914344829,-0.0541146973344,-0.0062501333223,0.0125686530487,-0.0908800036115,0.013840918855,0.0713800983157,-0.0472002416219,0.0383366804317,0.0319114981247,0.0268541324399,0.00366708961829,-0.00319916722215,0.0452083772871,0.00746015327227,0.02619518285,-0.0434285536352,0.0312626791216,0.0512801779673,-0.0338915603667,-0.0137708030974,0.0445406046927,-0.0508201688089,0.035024314013,0.0429270691455,-0.0968890779899,-0.0364842880105,-0.0241794294916,-0.0502334068799,-0.00267899131645,0.0670512116303,0.0208966366784,0.00640365800696,-0.0303326193855,0.00562721969565,0.00652537417419,-0.0559845367629,0.0482168614512,0.0478933176956,-0.00587800315027,0.0564548981093,0.0110180594372,0.0331440058816,-0.057440933713,-0.0329736597189,0.0371532749689,0.00645712151556,0.0300127887667,-0.073245743201,-0.0196739465488,0.0653876980109,-0.0407272388489,0.0138219278629,-0.0597351442438,0.0148099234078,0.0397632678582,0.0461581226012,-0.0405452978862,-1.40102948457e-05,0.0400919165542,-0.0924201663847,0.0244764538709,0.0905013547889,0.0473617762596,0.0119305387327,0.0829728438603,0.108033493145,0.0104035626246,-0.101766851994,0.0052388135635,-0.049297189877,-0.0156127490388,0.0135338018477,-0.0232730999246,-0.00621733181241,-0.00655112101989,0.00650550078966,0.0497531334225,-0.133490323431,-0.0416438030012,0.060421967596,-0.0304279370211,-0.00738223317836,-0.0300041105378,-0.030852130911,-0.0198271654929,-0.00498220628909,0.0765105302278,-0.0497593844923,0.00518463984352,0.134476650208,-0.0524876335388,-0.0350628375019,0.00899062387675,0.0339751256566,0.0251425785063,-0.0167788008814,-0.00735284050321,0.0572302405385,0.0321831693991,0.0867820043286,-0.0604952818407,-0.047495840234,-0.0839467188384,0.00830507015325,0.0441017978145,-0.00592770596096,0.0213794636086,-0.0318268181004,-0.0118451971407,0.00393734041733,-0.0242392602183,-0.10532981732,-0.0525493782386,0.00941350809549,0.0341452595801,0.0734875785911,0.0238114020956,-0.00194413577936,-0.0280623920845
ambra1,0.00315194571807,-0.019749283227,1.0,-0.0292613432127,0.0459326737657,0.0265862083158,0.0479918750249,-0.0453134745792,-0.0419738944166,-0.0417486237679,0.0763503562993,-0.00464524916283,0.0788354431644,-0.00188936246024,-0.0292036956445,-0.0779728163079,-0.0391190424574,-0.0110447370897,0.00461158462284,-0.00129989053187,0.112506214659,-0.0363798531217,0.0218081863906,-0.0190472042075,-0.0172985068346,0.0491940728382,-0.075142569702,-0.0303974839465,0.00912107583604,0.0369565838595,-0.0543663060548,-0.0410956469213,0.0562368449879,-0.0463735753445,0.00532644365404,0.05386600718,0.0372503977866,0.0720463986029,0.0030431435519,0.00598992563184,0.0594574058753,0.0866622730052,0.0715500074024,-0.0215725692668,0.0858361659553,0.0306529107693,-0.0213980388974,0.0170719209856,0.00537379012421,-0.0235628903431,0.00546158114123,-0.102726255375,0.093100570575,0.0056360072222,0.0926388283194,-0.0130292603658,-0.0128501545814,-0.00789059935321,-0.00269107050909,0.00746140570637,-0.0298845834872,0.0671813549098,0.0943290770743,0.0138393095568,-0.0366271295545,-0.00769518750724,-0.0108361953838,-0.0331127917572,0.055757573358,-0.00188668519405,-0.000788113575936,-0.0733635677238,-0.0149540495366,-0.0106122864112,0.0884728996455,0.0436537074261,0.0941714335294,-0.0220232074247,0.018001700955,0.0541588478502,-0.0684112229884,-0.0475170853001,0.0271403395587,-0.0488061201127,-0.0271505955988,0.0160502816686,-0.042166848784,-0.0359776266564,-0.0500276771304,0.0327447062364,0.0252999580226,0.0900283575877,0.0318630911453,0.0854061798324,-0.00934522738251,-0.0186226828106,0.0547013791651,-0.00999642484793,-0.0352113329682,0.0472934411062,-0.0447223564659,0.0066466966083,-0.0433557290874,0.0395307024106,-0.0209235090648,0.00167799177457,-0.0770983121366,-0.0913715965627,0.0174844575368,-0.00109256592661,-0.0176068682079,-0.0657012635978,0.0261511123018,0.0489636788886,0.058048442494,-0.052697044495,-0.0104915689409,-0.0480614682037,0.0213723031885,-0.107605828306,0.00554779326654,0.0849948812852,0.0542139557105,0.00897142669713,0.0797065482433,-0.0464989991172,-0.0738466671153,0.065375090975,0.0544512667997,0.0124108552767,0.000852003349437,0.0285295059027
anp32e,0.0112240188918,0.0350332557975,-0.0292613432127,1.0,-0.0101010129332,-0.0739496290585,0.0342849508622,-0.0318974868736,-0.0192745106382,-0.0669402230503,0.00560747367502,-0.0232255979212,-0.0401620239019,-0.0448407282307,-0.00972909168562,-0.0556147725454,-0.0425632480286,0.0633809607944,-0.0115727234244,0.0321144288931,0.0430155414769,-0.0288844422973,-0.0071721600385,0.010997992432,-0.094905553233,0.0213131909194,-0.00104341240375,-0.0486811169085,0.0510622960821,-0.0115658331364,0.0589009956989,0.0395806420489,0.0352992411164,0.0539327064027,-0.115131185503,-0.00108587629132,-0.0479939448787,0.0637074587061,0.0403789322145,-0.0792796407522,-0.0514331009537,-0.0297555444812,-0.0690314038642,0.0619582550259,-0.0208437296187,-0.0457611170033,0.0244007541649,-0.0331566273733,-0.0013401899015,0.0410422779797,0.00417647312936,0.0644608759358,-0.00878607006239,-0.0216867968888,-0.0257826892188,-0.0151850079338,0.0164605845451,-0.0315286251797,-0.00814885556394,-0.0250667058251,-0.0409777525345,-0.0318458841568,0.0258051052092,-0.024314777799,0.0141450944038,0.0313375003311,0.0219906365988,-0.022318646653,0.0554390978954,0.106136231721,0.000637087679026,-0.0254921136542,0.0200306922133,0.0108307626695,-0.0552302274203,-0.0144580918106,-0.0271555906809,0.0395179094651,0.00477778298589,-0.0657813956496,0.0325856907504,0.0362268577655,0.0333275115816,-0.0103812188384,0.005038785373,-0.102828788235,-0.00895525784646,-0.0134049082636,-0.0206117720356,0.0635043731261,-0.00552932170014,0.0213805045294,-0.00777523319942,-0.0581454415298,-0.00538599274224,0.0141794169306,-0.0309300841457,-0.0295279729665,-0.0855067371369,-0.0206112888716,0.0557671807774,0.0190961207971,-0.0116799820578,0.0132578888513,0.0011505350173,0.0753956701633,0.0211321362972,0.147645181525,0.0240873070552,-0.0345403568864,-0.0843585568854,0.130649786493,-0.0209038839819,0.0120958449703,-0.0126905360092,0.0174244167861,0.079125994401,-0.0218760944621,-0.00453136969518,0.101698451472,-0.0848417349559,0.00533486353002,0.0270924958239,0.0377001485724,-0.0253707541694,0.0454959272392,0.081956975301,-0.0450559670671,0.01385628474,-0.0238241114035,0.120399975195,0.0302273368609
apopt1,0.00478038776491,-0.0273888958236,0.0459326737657,-0.0101010129332,1.0,0.0287292824664,0.079506023196,0.014960270363,-0.0313204718089,-0.0435935415273,-0.0594403426986,-0.0504933120627,-0.011402697177,-0.0124674771364,-0.0115814817341,0.016626587303,-0.077530574377,0.00491754343538,0.0168203598626,0.0546173651174,0.0548837615766,-0.0299260696074,-0.0441415051033,0.0309658813877,-0.0673887269708,0.000771143271214,-0.0227922673258,-0.0436988635419,-0.0320773963144,-0.00718583241532,-0.0281922354196,0.0252150671869,0.0533066753936,0.014706188473,-0.072141909057,-0.0698641803643,-0.00921299313566,0.0269186353617,0.0039026398543,-0.037801666978,0.0313295381443,0.0478608055518,0.0329124286982,-0.00896985915622,-0.0155439333759,-0.044570013219,-0.100791981065,0.012993970534,0.0914731093632,-0.00710709186324,-0.00937414716979,0.0262350798775,0.0415232653976,0.00296920954606,0.0149331912234,0.0619901138787,-0.0171987042821,-0.0107174738754,0.13536095337,0.0531682572897,-0.00880472483753,-0.0144302515191,0.00176397849771,-0.00560834392202,0.0180286729434,-0.0190740690385,0.0286282094533,-0.0190091569065,-0.0427720191931,0.0426962501401,0.00104308222383,-0.0551220204619,0.00491366511326,0.0118593794989,0.0313730624905,-0.0421945858973,0.0465578529159,0.0329914699472,-0.0492373801235,0.0533679419844,-0.0140649167002,-0.0286300323804,-0.0171591940783,-0.0194142985887,-0.0364337357491,-0.041414947601,-0.00370331745339,0.0343581747098,-0.0179072718153,0.00958759033817,0.0516915650673,0.0399913092607,-0.053404012602,0.0181824529375,-0.00765055998913,-0.0515079533028,0.0384863690484,0.0245167411818,0.0447402927834,-0.0873011163625,-0.0305340583967,0.0271141443129,0.0267571874729,0.0343966893997,-0.0160869196091,-0.0155465625941,-0.0214842096749,-0.0557602781978,-0.044697936153,0.0427059454194,0.0633272863487,-0.0412646767487,0.00587374393793,-0.00103838243051,-0.0308194330842,0.0564080738135,-0.0473133611981,-0.0267842794319,0.0186898098164,-0.0450949859391,-0.0344562631874,0.00518643680201,-0.00288995570041,0.0271625615055,-0.0575917174286,-0.0582790180274,-0.0135079765268,-0.0230964773429,0.0381232912485,0.0929860331635,-0.0113748561022,-0.0200377024787
arhgap1,-0.0121589962856,0.0429355333954,0.0265862083158,-0.0739496290585,0.0287292824664,1.0,0.0830928926284,0.0357546912999,-0.00975570186983,-0.0349617101277,0.00554825010609,0.0134058736172,-0.019805404407,0.00565984005588,-0.0577486336545,-0.0167672423185,0.00729431035155,0.0568392895527,0.0418729597536,0.0727159162069,0.052496695665,-0.0388797661848,0.0236529107836,0.0229988899299,-0.0279210596485,0.0889284152144,-0.0116270011922,-0.0362809102138,0.0786108744994,-0.00466652146982,-0.0320246029685,0.0830418369677,0.00817748722441,0.00674441636868,-0.0889088628358,-0.10866463565,-0.00344944098525,-0.00117901761848,-0.00333116619282,-0.0195405587931,0.0303227937164,0.0340232421702,0.0224407592589,-0.0173407139682,0.0445781733451,-0.0189413919802,-0.0408859639548,0.00412158254051,-0.0350854780819,0.0849210593112,-0.0680056953776,0.00562926400456,0.042267768483,-0.0591655512387,-0.0570143196021,0.0510930935553,0.00217535057862,-0.0147236326769,0.0955525857951,0.0324770715625,0.0164721226977,0.0401928972858,0.00710307662336,0.00871383012558,-0.0274658277775,-0.00185399862042,0.0202894237514,0.0424850924583,-0.0353753899621,0.00463890697152,0.00224031886779,-0.0663558211361,-0.00694285328213,-0.0325040848168,0.0300715754012,0.0327302618216,0.0350374308596,0.0161545857623,0.0745221150812,-0.00815674397609,-0.0152426111619,0.00229709125024,0.0623566849801,-0.0201031046906,-0.0126861820062,0.0609304359511,-0.0234343624243,-0.0688332693083,0.00370075984092,-0.00770350257048,-0.00778643444511,0.0536497588151,-0.0577288556863,0.00278057404287,0.000722173068243,0.0405357414903,-0.00249282200852,-0.0300762316258,0.0157481280688,-0.0349351558367,5.89052395039e-05,0.0192755563974,0.0288704771411,-0.0436538608869,0.00338712154637,0.0340656428101,0.00379207485105,0.0338916911637,-0.0119465503183,-0.0106359391426,0.00283238711354,0.0152996496787,-0.0897829860185,-0.068980984097,-0.0223901880714,-0.0107801573672,-0.0171962208366,-0.00513041822302,0.0641118087641,0.000620893817515,-0.0174661376099,-0.0866211401535,0.0405672779707,0.0295196580862,0.0193072961377,-0.0117912485688,-0.135603817935,0.0271753404281,0.0353499455467,0.0143028732206,0.0229794990888,-0.00763908047722
arl3,0.0479885673517,0.0795787760116,0.0479918750249,0.0342849508622,0.079506023196,0.0830928926284,1.0,0.0251080052209,0.0087993869361,-0.0591048386306,0.00865118775359,-0.145930488624,0.0162655127863,-0.00509211585131,0.000559230971976,0.0620815691819,0.0272106801752,0.0247791210697,0.0570122621627,-0.0403000482161,0.0754490096707,-0.0958021207382,-0.0545643647066,0.0120797868488,-0.0492696685959,0.119073809062,-0.0599754932471,-0.0440262501884,-0.0492416436923,-0.0448090711836,0.0932383099555,-0.0021508901311,-0.0133504865492,0.0671664758019,0.0438055993146,-0.0791987916694,0.0929669044104,-0.0175201079589,-0.0691369455724,-0.0533041691166,0.0157015378894,0.00285379649916,0.0509892437546,0.120084162757,0.0585859600934,0.00589653818831,-0.0170618746548,-0.0805837627567,0.0345556021057,0.144451757938,-0.0917269307581,0.0399280847575,0.0324774212658,-0.0329065392526,-0.0383744990875,-0.0764150739297,-0.00296722875288,0.000166985575823,0.0113043945209,0.0966117278466,0.0175194582432,0.000151108837629,0.0202554065255,-0.0540238226868,0.124259950985,-0.00565469962399,-0.00269005778833,0.0102900259025,-0.10197151805,-0.00677183256883,7.19832461258e-05,0.0535058605641,-0.00409599935023,0.0297767136674,0.0484724176404,0.000752793979925,0.00376175661539,0.0846381721209,0.0104184474642,0.0163408635104,0.000629906735905,0.00620941200753,0.0127892081198,0.0120128127053,0.0442094032206,-0.0498318051804,0.00374008812029,0.0443356786696,-0.0317157669254,0.100334147653,0.00299800684561,0.00466591660586,0.029453539219,-0.0336481916392,0.104310404995,-0.00898666093352,-0.077428319508,-0.0199857910664,0.100804291261,0.00821399622333,0.00456747161732,-0.00305956155267,0.084056451751,-0.0677705392474,-0.0331037073233,0.0215809266013,0.00833989561758,0.0905339027962,-0.0472721308552,0.0845078202294,0.0403315604156,0.0152784123407,-0.0258165880662,-0.023119971291,-0.00129730624847,-0.00939455186375,0.0212448808058,-0.0390374894451,0.00595512103048,-0.0301588756474,-0.0549355710185,0.0207114665682,-3.1944124432e-05,-0.00456975792091,-0.0765598863799,-0.0831703889697,-0.100071719255,0.0154520970755,0.0390443614615,0.0311069141024,0.000335380993091,0.039075699486
arl6ip4,0.0672035746282,-0.0829505546049,-0.0453134745792,-0.0318974868736,0.014960270363,0.0357546912999,0.0251080052209,1.0,0.0280145200849,-0.0494392301632,-0.0377610612532,-0.101466379601,-0.0505717545039,-0.0860700394172,-0.0020077871867,0.0738936210324,0.00525613248853,-0.0404021402911,-0.00686817545015,0.00383762911441,-0.00970430376168,0.0135912210272,-0.0379803945734,-0.00708475039575,-0.00315116644847,0.0165080973608,0.0140508847057,-0.0808691284682,-0.0473242622129,-0.0336680341938,-3.79667102887e-05,0.00288579140612,-0.077784484826,0.0850806245611,0.00910604292282,-0.00376311726433,0.0279391707274,0.0103273304758,0.0239267138972,-0.149979775651,-0.0202288451889,-0.00683355050574,-0.0175784272504,0.0822573877118,0.0143943046492,-0.0283658593402,-0.00750998084824,-0.041598825763,-0.00450974560894,0.0201089251508,-0.051922496712,0.0377788970269,0.0145187709084,0.106550373567,0.00493073099892,0.0508008248133,-0.0107651038511,0.0177961551353,0.00825632558289,0.022261617766,0.0232014276507,0.0437910114857,-0.00614074580397,-0.00284766537241,0.0859960334909,-0.028694514616,-0.072104131145,-0.00932705295578,-0.0402857102206,-0.0348370882533,0.00120755182789,-0.044716199841,-0.0039298254034,0.0243605556044,-0.101830814685,0.0765646891766,0.00524811659713,-0.00601404853169,0.0281361694778,0.0304593026624,-0.0712600036774,0.0321982379763,0.0286250569216,-0.0248264916358,0.0362182207143,0.0183820648077,0.05335085494,0.0326748429992,0.0567684824772,0.00960851021932,0.214321010017,0.0807335550315,-0.012156928899,0.026457088954,-0.0114948059412,0.0031310649703,-0.038866041067,-0.0713998619271,0.0658781320286,-0.0596409097662,0.0309452386974,0.0086911083377,0.00693401433375,-0.082966493171,0.0104069133728,0.0214893126101,-0.0915106856935,-0.00405654931575,0.0640396519514,0.00285399078058,-0.00100689210962,0.0835241862877,0.00388189228207,0.0122060780754,0.0579008838367,0.0206079938095,0.0124184612516,-0.166618809923,-0.0775859167059,-0.00906895901822,-0.0365233996728,-0.0302365755036,-0.0570642758058,0.0326486215485,0.000126221523456,0.00451268832585,0.00916344439123,-0.0148361422371,-0.0727989044305,0.01103113442,-0.0148983705213,-0.0233400928056
astn1,-0.0622961916455,0.108222200476,-0.0419738944166,-0.0192745106382,-0.0313204718089,-0.00975570186983,0.0087993869361,0.0280145200849,1.0,0.144166457461,-0.0275784170961,0.0959699071515,-0.0137078837611,-0.0054807726913,-0.00050598351858,0.014187980571,-0.0582631302443,-0.0191379075214,0.0816782827034,-0.0259392301297,0.0362720106946,0.0304284914174,0.0955505530283,-0.0465431962951,0.000553181019377,-0.0291165473774,0.0602459430339,-0.00698800643059,0.0452182665192,0.0217456395082,-0.00556239924962,-0.0120505997041,0.0287023557469,-0.0203379348223,-0.00775064092423,0.103094068855,0.0259720913605,-0.0558687023074,-0.0364042613036,0.00938698465641,0.0258330068785,0.0242586086992,-0.0020574206856,-0.00582135462289,0.0363965448312,-0.0570993079802,-0.0491639933748,0.0335903947584,-0.0417012429882,-0.00790304648139,0.00724977875573,0.0221416203465,-0.0664066281772,0.0567163133138,0.00597745777729,-0.0653100971974,0.0104761476224,-0.0167822260675,-0.0405308829449,-0.0137477496946,-3.83061542916e-05,-0.0154442616218,-0.00821275039176,0.0296360931856,0.014058366778,-0.00141381149528,0.0232555747084,0.00311217584034,-0.0486352099188,-0.0784423871354,0.0482116876498,0.0585549466318,-0.0630850680974,-0.0310917987133,-0.045271515801,0.000833643903821,-0.0373176079125,-0.0265472987717,-0.0329078469969,0.0106205483005,0.00360375964074,0.0677539199628,0.0216086672956,-0.0333785009968,0.00554734957087,-0.00928550945054,0.0272648909754,-0.114745137099,0.0750059107843,-0.02789036443,-0.0337638485518,-0.0344632749879,0.00328175314327,-0.0237631662277,-0.147456872407,0.00941145575652,-0.0234088185837,-0.00724944274632,-0.070630659547,0.0732154866133,-0.0217716409555,-0.0378831862609,-0.0095320181024,-0.0338471386317,-0.032344451248,-0.0966134252844,0.0129436798144,0.0212699261828,0.00976193146536,0.0038198175615,0.0033451671247,0.0431524916035,0.0691477222477,0.0990088412367,0.0072959036477,-0.0741737706082,0.0381859906587,0.0216049795172,-0.0521984667996,-0.0352025481855,0.00741798265732,0.00992795024851,-0.0716310821219,-0.0727089295335,-0.0664047037735,-0.120960904068,-0.0827921887891,0.059765877699,-0.0350195218339,-0.00119816323377,0.0173055932117,-0.0688756316246
atxn7,-0.00472139645838,0.0363898996546,-0.0417486237679,-0.0669402230503,-0.0435935415273,-0.0349617101277,-0.0591048386306,-0.0494392301632,0.144166457461,1.0,-0.0294728258792,0.122552911073,0.0184439795471,0.0500073155542,-0.065473301098,-0.048358954863,-0.0436990422837,-0.00360216706163,0.00832583689331,-0.0497265938594,-0.0346421792326,0.101108114329,0.082896143801,-0.00190210025159,0.0634444308302,-0.0109450675974,0.113535222622,-0.02938525144,-0.00209066210988,-0.0342109122813,-0.09178515767,0.0158503787311,0.0797960110904,-0.0816385988224,-0.0160526117168,0.0917388094747,-0.0424117707785,-0.0699887895292,0.0502817786476,-0.0545291316344,0.0604438596946,-0.0268540938558,-0.0701067577488,-0.0511850925683,-0.0631212388188,-0.0940098479654,0.0265063602556,-0.00092623358932,0.0155425170337,-0.12636372997,0.0289777314215,0.0750444740121,-0.0350976609581,0.122171010078,-0.0465956286798,-0.0551187493557,-0.0407208113504,0.0304569644582,-0.00246885071754,-0.0960614099653,0.031305892905,-0.0606052343278,0.0160654333239,0.0232090709699,-0.0246756317184,0.116637772453,0.0121318900156,0.0337971220262,-0.0535151512228,-0.0177082378323,-0.00680218925169,0.0359363893812,-0.0206411772259,0.026543125943,-0.0405614276922,0.0585257997576,0.00274796710019,0.0438004605234,-0.0371749099986,-0.0990310070648,0.000810061971273,-0.0956455786418,0.0401854628157,-0.0185637437956,0.0396434156369,-0.0123053884641,0.0425071543127,-0.0215308992353,-0.0223764119382,-0.0981473526926,0.00631102748222,-0.150715634161,-0.0092421016798,-0.0936840452577,0.0114857870077,-0.0134531178899,-0.0372476170537,0.00923239280729,-0.112589008201,0.0660888349709,-0.0511244082792,-0.0397374117802,-0.027554628857,0.0399633397297,-0.0114456993563,-0.0942821480133,0.0925331097944,-0.0106627685326,-0.0266386320833,0.00129845648012,0.014917487124,0.0585182391221,0.0306754068858,0.0669967000739,-0.060523978392,-0.0141784762592,-0.0225633147139,-0.0631197748462,-0.0424583757453,-0.0445973604063,0.0538293732356,0.0554311107839,0.00235840850429,-0.121507144004,0.0206954811536,0.0199176436351,-0.00497944420102,0.0341145770135,-0.103657633459,-0.0177147515655,-0.0567145954753,-0.0213295533225
