adamtsl3,akt3b,ambra1,anp32e,apopt1,arhgap1,arl3,arl6ip4,astn1,atxn7,bag5,bcl11b,c10orf32,c11orf87,c12orf65,c2orf69,c2orf82,ca8,cacna1c,cacna1i,cacnb2,chrm4,chrna5,chst12,ckb,clcn3,cnksr2,cnnm2,cntn4,csmd1,csmd3,cyp17a1,dgki,dgkz,doc2a,dpyd,egr1,elfn1,ep300,epc2,fam5b,fes,foxg1,foxg1het,fpgt,ftcdnl1,fut9a,fxr1,galnt10,gatad2a,gigyf2,glt8d1,gpm6a,gramd1b,gria1,grin2a,grm3,gtdc1,hapln4,hcn1,immp2l,ina,ireb2,kcnj13,kcnv1,kctd13,kif5c,klc1,kmt2e,lrriq3,lrrn3,luzp2,mad1l1,man2a1,man2a2,mbd5,mdk,mir137,mmp16,nab2,ncan,nck1,negr1,nfkb1,ngef,nrgn,ntm,nxph4,ogfod2,otud7b,pak6b,pitnm2,plch2a,plcl1,ppp1r16b,ptn,ptprf,r3hdm2,rgs6,rora,satb1,satb2,sbno1,sdccag8,sept3,sez6l2,shisa9,shmt2,sipa1l1,slc32a1,slc35g2,slc38a7,slc39a8,snap91,snx19,srebf2,srpk2,srr,stat6,sybu,syngap1,tbc1d5,tcf20,tcf4,tle1,tle3,tmtc1,tsnare1,vrk2,znf536,znf804a,zswim6
adamtsl3,1.0,0.14270332972029254,0.004694121614644707,0.1686139188750517,0.19231831452452994,0.13965471609033497,0.029698576741056817,0.25670797538433154,0.1585410598144887,-0.07596928644477821,0.08171875699853796,0.08307994835606881,-0.08456940718504985,0.12088367263692078,-0.014917468685165983,-0.07262327306367458,0.10740746042995652,0.0815943565917143,0.1494487337000692,0.21747716648059684,-0.024386800189570818,-0.02991737686808673,-0.036121321465493184,-0.1972903687325449,0.173908379794599,0.0787851718105414,0.07980365056042274,-0.033087047029897364,0.11487706779281523,-0.08100191139292943,0.17291255002074624,0.08557174656881054,0.14873746827490222,0.02873732080065331,0.2576751299061826,0.07012623951836996,-0.1027963090218089,0.06144533921192732,-0.03507311344910665,0.06284065523883076,0.1915756779906378,0.24198335759426198,0.03614713123152391,0.18726459229027537,-0.01291552974550449,0.24796300006001312,0.35318711644237777,0.08104343536184608,-0.1302174055399095,0.07616559420351045,-0.11948069809402077,0.181526317168247,0.008492503391277502,0.25195265639532666,0.026942984281159876,-0.1088276082190591,0.41304709567851794,0.04315130698933066,-0.05485021904791837,0.26543190532853445,0.37359701826916486,0.24642132127544378,-0.13030815313103994,0.12389139759226654,0.292045634098527,0.09468292209436201,0.05864395623321017,0.03844990456721684,0.11508014542249058,0.05855571494757889,0.14590904194814813,0.06605880990762479,0.026447500452917556,0.14922976787384484,0.034602386714558446,0.12930913841829406,0.15575958661189912,-0.006131446679278627,-0.0046305320552377524,0.05355102644516996,0.04081319006705211,0.015961648655485557,0.2868783691383564,0.12258987837203189,-0.09940371979573012,0.1187761301752347,0.11761924141163527,0.14220227023390156,0.20830561153636967,0.1505954110409602,-0.08054068617937123,0.1572368227598857,0.07057211596464165,-0.058943981965372226,-0.13023258321252548,0.1333649106142847,0.10559535644189853,0.09330259031337651,0.25879496412124253,0.1251154150659616,0.1062327322874233,0.25567250256439356,0.0559390895361843,0.1369755715198047,0.11673500131348433,0.14464029542752263,0.0054258674390571466,0.2479031051547639,-0.07156865516768189,0.10017419911399669,-0.015185923990243936,0.13719311766348086,0.017507290420661875,-0.06802751317135679,0.1513644494645234,-0.05482695227929018,0.0707159741315612,0.011524703775990679,0.14240389432066233,0.03440614368139148,0.14484528256515214,-0.05386823151997892,-0.09937545778743075,0.210814814987004,0.22925831550649262,0.20744480547717722,0.29646247976951146,0.1103574577808954,0.016375018612626316,0.12638292860956632,-0.03864697522393236,0.14622333164256468
akt3b,0.14270332972029254,1.0,0.2319404489541764,0.004172334455547048,0.12339958324650553,0.4072677722037922,0.4538444820068776,-0.06596406476453436,0.4646486454547172,0.42636136528082724,0.10190326729479629,0.34402382630610856,0.2076511958361428,0.13152842048344565,0.2391514095433884,0.2514790250015084,0.09961209484709177,0.1972148889796594,0.20122076148903287,-0.01449307663087701,-0.09663833939791946,0.16398113053552674,0.20134341385184737,0.058781772755897854,0.1675321277865246,0.19737448453145723,0.467013806053375,0.34637874927492956,0.15073313360223378,0.3925004836759562,0.3187333405246565,0.06271281835882174,0.21507177878075473,0.3848557483617066,0.12749904420491348,0.2725756559731588,0.18905420765722838,0.36200387269937984,0.03434118440426414,0.18896089841899535,0.19126123471132495,0.18980294844826492,0.0783596024574357,0.20040497516683944,0.3418271573819214,0.2233169671993882,0.19026782197545572,0.20964024928709638,-0.013921875137808275,0.2792331504755118,0.4774189320409717,0.21727313064800716,0.20400607665219678,0.44357590240200717,0.3827997009114686,-0.007297646214257819,-0.11190609546498087,-0.06486487740340378,0.187830142966279,0.07096001558438902,0.2050073097729349,0.17115420062793124,0.11401134797063424,0.030463380872266566,0.25848588310751286,0.09005132811223931,0.19113844034414876,0.02381341381979782,0.10843894765734101,0.10239558528687177,0.2827053615786311,0.1482326599788325,0.2737115658224837,0.06868785251350604,0.21208643240212377,0.31203043049098417,0.1974811364183115,0.3362391606451919,0.40463620800847966,0.3210608592420508,0.19156889559057785,0.2611520639532849,0.22122199009716614,0.24273989006193047,-0.12711745069563996,0.33813565707986354,0.3286179696891767,0.18565451376578382,-0.026832062140039244,0.3678521867713564,0.14050175790002242,0.23563662467744995,0.18679802281878521,-0.09837250029082281,-0.12168277980197569,0.13885178130600068,0.3433990535446884,0.0027149192455920763,0.4253192241449577,0.17942886640124805,0.11699653091417968,0.25394044083380696,0.27602442874457145,0.10305972942235159,0.23820605472879758,0.29834891529731894,0.25872835257770355,0.3323652120805171,-0.04466875681932684,0.17337499117093327,0.10581064754401451,0.26030895857604575,-0.10252722782390893,0.24154223153169738,0.27655148723614104,0.18720828331693312,0.2224210780570518,0.15406133696091265,0.21789783638821703,0.18932895208148173,0.049476552000393685,0.19106965536700574,0.023219415595925757,0.08669358709516072,0.31071686237038004,0.2527126773511014,0.459966758222615,0.2922826968265278,0.21784628257654196,-0.16869599979122105,0.2116319235734235,0.20871182164461094
ambra1,0.004694121614644708,0.23194044895417643,1.0,0.09661184506577344,0.13117238953175125,0.13106577190734992,-0.013082292154841729,0.09396686981956005,0.15632034682632553,0.1774073344160344,0.09195884989232503,0.3477426589797005,0.11907647761964486,-0.008451772881118367,-0.12330051589745442,0.21207106692070435,0.1510821623001034,0.22509509659736054,0.09653038254588854,0.004534508912882,-0.14989412398570318,0.1831769177677011,0.22651689062568986,0.002095030805941513,0.06473828846687402,0.1510416445301276,0.06739545362310621,0.18669849948252995,0.18804157992635342,0.11188582917623052,0.18520419898504734,0.11927191874448309,0.19617181838106468,0.25293631572335473,0.15864354696646468,0.05409875281429705,0.15010643128440024,0.3280872389851863,0.04877746028220896,-0.04814966162696481,0.3026865246499398,-0.03775775792420365,0.14282005475308193,-0.16938444850949394,0.0697572735268322,0.006169244564523754,0.1637730020688763,-0.024071696500119397,-0.049651068886574584,-0.14224366595578597,0.29041294936079326,0.2952335820740105,0.18633249101102214,0.23723125587569957,0.13466483632488765,0.2206132008350777,-0.049468666796657165,0.0342538662340937,0.2437477579633134,-0.1552802317569512,0.06325023702405574,0.23861648484528902,0.02389654310514115,0.09270069345711282,0.20782784868421098,-0.04461906787919977,-0.04192700738605334,0.09462183420264089,0.271183101864614,-0.143229349902934,0.23351236499802,0.4129835901262674,0.11210516972051791,0.08085843491718321,0.07822678034104041,0.33586773466690034,0.331814137012267,-0.015623004136992425,0.10712931854996843,0.0456175778741853,0.29482503220696515,0.18074053805250684,0.1915502278944244,0.28086478031746387,0.14090040994329076,0.1383666429483724,0.0921743128478809,0.32648803980383895,0.12408621225763121,0.08868870359758838,0.12225861101303508,0.07958101363590267,0.05451380958224108,0.2873759594487781,-0.05751438688316381,0.10418918624500477,0.2470872430324896,0.144585212217655,0.11910543117875125,0.20583132704297527,0.16789428917450416,0.2391320788442234,0.14903658633142525,-0.12012394106417487,0.2042231005680161,-0.010267406711709375,0.18120284937239314,0.056746319756091554,-0.010268113054952503,-0.13169620945712598,0.202859093843982,0.10726513724609793,0.09767392419495696,0.410529340090406,0.05778374748707119,-0.053497085834500045,0.19027859733812186,0.014773662641373113,0.16808314831464916,0.036523025564275426,-0.07791994775074715,0.04661920275168696,0.14907575478406915,0.20286042344830252,0.09643053197216844,-0.0029963006496506257,0.06410785542599261,0.1241108466511633,0.15786452263462494,0.18386902612266132,0.06278351935122459,0.17105917353484917
anp32e,0.16861391887505173,0.004172334455547048,0.09661184506577344,0.9999999999999999,0.19602868994410244,-0.1556752028669424,0.03503104885108693,0.2444335058701913,-0.05352798142836005,0.05495675933482104,0.001769244042370908,0.17949522097836068,0.036069157740720434,0.24549656196422576,0.028502186793216408,-0.10862383776780724,0.14687135169838686,0.03257103667044252,-0.054620198931234334,0.08538680725915063,0.13190565197031628,0.03716118152365597,-0.004277974084466197,0.0436179555988074,-0.11396151392353895,0.12874385869586338,0.04104372593231167,0.13529140379517784,0.0029530858791048955,-0.07620348560146985,-0.01987706573327186,0.08827213247868468,0.18765991968724155,0.15077371281582433,-0.06248128749632813,-0.09616703585132343,0.3214348712553988,0.04067478671198566,0.08412813087228856,0.06431354528530571,0.28826411420358383,0.25322243747981227,0.14782070634353053,0.01313205766144529,-0.21682445199942013,0.32972643581961597,0.10619049241046595,0.281012823502785,-0.17824211054966582,-0.09912939459249563,-0.12278117770759374,-0.05335562315713495,0.11762017376284717,0.18076170679112039,-0.04004498696886758,-0.06162996368004123,0.21283156505799397,-0.02086158732897722,0.05214972149912001,0.13152940588173626,0.10292158305993908,0.21889257631244405,0.19109224265841565,0.025929581052100015,0.060982982748296014,0.3245075554182068,-0.03925988707020723,-0.008233266049775229,0.05464824825123132,0.060255090050794456,0.18797135015888902,0.11097875943239215,0.17073729326677148,0.014101474635313138,0.15632838546490183,0.06809503976455099,0.3228072352283359,0.04858127728769587,0.06208868338289235,-0.09445277993200665,-0.13195098876452682,-0.012138079573297749,0.18614976308858852,0.005083166923240532,0.014696816784673187,0.10297338748487471,-0.027324352744767532,0.12733948710631926,-0.007401140971762887,0.19264441804808405,0.07562676196725769,0.10763234620081957,-0.037452742603464186,0.07029299013872743,0.17932661021721963,0.08302159286273829,0.23579966283705828,0.09511913436732446,0.22963760149589932,0.07243836077656501,0.1409823333684305,0.12503136130883524,0.035397710614477135,0.21655958245900783,0.2489097633086989,0.3077661746957318,-0.31618900033518443,0.16533713299344227,-0.05894157668299535,0.2317433036401413,0.0779531210350673,0.050822480940911866,0.2648069455515275,0.01048372779011563,0.03149020505924276,0.15791882709518434,0.1014685688231123,0.17941057879065775,0.308913092563734,0.10810365492898183,0.18677617077976902,-0.03671602837799472,0.026056762973860222,0.02586014081283518,0.0031321411632717865,0.24040278349823907,0.10301220661371795,0.203810228590453,-0.19846264776502118,0.27304356566741966,-0.25700553088137335,-0.15901301496765652
apopt1,0.19231831452452994,0.12339958324650553,0.13117238953175125,0.19602868994410244,0.9999999999999999,0.13153581366584732,0.19903599240565073,0.09691354368476475,0.14877348743786,0.07241233619360328,0.1214940296443118,0.10795582702060068,0.0970392998169207,0.092495056067586,-0.030734828636911064,0.20145916034348046,0.5220524999373595,0.13768007068181062,0.10885091699707966,0.16577225388843966,0.1003467222026247,0.18428479599398742,0.28976405450988435,0.2976229232397259,0.17588872613583573,0.10543121547033356,0.17827982048958746,0.24547851239958968,0.2818543201066091,0.2945718116386694,0.05327299403632162,0.16787016428955293,0.39920027988748585,0.3077609190028448,0.11476746702551113,0.24635607093933135,0.25113157451994556,0.18987779862169185,0.1640383481049232,0.14793501646155968,0.17784157053416288,0.2708096657435685,0.06143925005714949,0.11475350087484092,-0.01630273194952174,0.1951987555359377,0.3244736688095743,0.043954235192562106,0.12973327938161106,-0.05234749000340531,0.07782711867417644,0.13964860943386243,0.21171962296408225,0.23410775144453344,0.3001579512967328,0.036939655609917896,0.27784133152972657,0.16302569309602158,0.14595484915680287,-0.03339389618687673,0.38728964678919253,0.27854797427474176,0.015957762086858368,0.33907406609260504,0.45174489934241635,0.06441059379882498,0.02996104472006229,0.09099016099582893,0.24296560663920697,0.03318485685142797,0.15771773727468832,0.21619511564031396,0.11996072374045721,0.2023237850665234,0.23662623444581432,0.26819529278108895,0.23535550872166966,0.08078117268523928,0.2623819105706193,0.08998826155168325,0.2927742188326894,0.27270119888170385,0.269246273950712,0.18914819134619562,0.22940780847000666,0.23762360415885356,0.1713130694897345,0.33604002385525344,0.4108992644482272,0.23182085972450445,0.12109142307035473,0.17694052639317565,0.03530581253346375,0.054591027305064176,-0.1423659534134057,0.1260735093216519,0.1413509210171179,0.04962742647728148,0.3218939390882871,0.10365948156931325,0.09040648039573401,0.4239616507220868,0.07547361122341427,0.23867027692904147,0.4752123255004266,0.43122577131091755,0.21461584912602225,0.1964181800701268,0.01712614481127071,0.061303104849270734,0.15940746106650794,0.174671741348766,0.08737659709888149,0.13240371741847595,0.2473665570122251,0.03670563206700794,0.18506209040417282,-0.01623392174330238,0.31883320651642155,0.3266771086454342,0.12075757283501709,-0.07709215087481848,0.057734484415507076,0.24754981087782787,-0.012559407877286126,0.04507346214007875,0.32889955431417967,0.3337281643559993,0.02163001164597174,-0.010902040882294748,-0.08176197385905186,0.10675542194805224
arhgap1,0.13965471609033497,0.40726777220379223,0.13106577190734992,-0.1556752028669424,0.1315358136658473,1.0,0.268256064980487,-0.029532282322180647,0.3796814416961272,0.2329462873177199,0.04718472589532188,0.3642874949223638,-0.0026797153959726558,-0.229571554307677,0.18191655586155525,0.26673107223888554,-0.049596348374856304,0.03793013293470155,0.16787667611677537,0.1448931276964884,-0.0572809513522062,0.15294811281082257,0.11555304148160253,0.16841091942038652,0.2815775508643605,0.18389200522880153,0.3684866592828097,0.302961071890684,-0.03936320135717416,0.27813064096718587,0.22767161683664583,-0.07911266427958456,0.14843226952748662,0.1298277800934851,0.18591241091914057,0.06148907599574876,0.23233734809717743,0.12474487187654239,0.19230747748035562,0.1493378828424072,0.048487206994938185,0.16387348427855836,0.23213740714271355,0.043155899773906874,0.2033168127063861,0.001531877735126491,0.22464909879375725,0.11356671786057036,-0.08725079215375177,0.24563959945344568,0.31612485469116874,0.16161268731482686,0.10592773408171767,0.2688983115028673,0.3602580118081427,0.0804694726807912,-0.08412092612201431,-0.025330933760811896,0.14428303256365457,0.06340179231327644,0.10172810953997646,-0.09226713948099868,-0.06598336684157201,-0.029292080031218425,0.24050380519549247,0.0815978700962473,0.2367527161575226,0.032122295999449164,0.12384711354998103,0.05519185169544705,0.32842387383957455,0.15429146938341742,0.1275360373137652,-0.01055539027503228,0.05423540712054413,0.1684853399592332,0.24594622164435245,0.2753995967102377,0.17702924987055052,0.07882648363810547,0.17039633791127112,0.15872290559668045,0.2557215883995952,0.12881948521160821,0.04440559376947513,0.10133002751281615,0.04356924956515666,0.20260152574409368,0.021245730644693258,0.193889247300826,0.15210088189350954,0.08860872860329688,0.15091868644728654,0.06334381281658437,0.025825746017344338,0.1596013434269417,0.19318749193523413,-0.25197767342243893,0.15953483097354312,0.05647316991783608,-0.10109051125238692,0.28541537068245865,0.12711289481828814,0.14472621742557887,0.1760079362049607,0.09636246712283983,0.24245584418362742,0.2597885031624055,0.012476816917690613,0.07994195314242475,0.14260876964346997,0.26975659641946337,-0.12603207269410674,0.3555184109360376,0.18494847021900865,0.14177957403157757,0.0009721139237803907,-0.12323683957589295,0.010407171973039761,-0.14417426933056285,0.11003377157626712,0.05707475269424871,0.0365321535493398,0.29790658068965886,-0.03358232018163671,-0.03527831920261152,0.3086746312774668,0.18172406692665177,0.23186934397188466,-0.004204549047235341,0.1011228509981134,0.3470188285224212
arl3,0.02969857674105682,0.4538444820068776,-0.013082292154841729,0.03503104885108694,0.19903599240565073,0.268256064980487,0.9999999999999999,0.09611743975460299,0.23684160112963407,0.3941825350784369,0.07197872963063522,0.13027079738471906,0.1388992144985764,0.09986590996086532,0.09113168386195632,0.16510694650017405,0.3276034811442645,0.06197156396296796,0.15920904136890665,0.06401870440172962,0.07189410832910537,0.17023224518081875,0.15523370762065922,0.07434415395215377,0.17209340292493736,0.052196204296641645,0.33231711193173646,0.26518351911241506,0.12292466448267575,0.37056057293615713,0.2615522385655483,-0.05190594907036853,0.14705164813329769,0.2627581262730572,0.3352393555834146,0.20360848320380723,0.3601353232361444,0.1652184721484605,0.20462478722333943,0.11323996697485494,-0.015420725789484039,0.30191262769363125,0.11950510692220982,0.20793074177350682,0.13935662244120825,0.1828994820347328,0.07407524452589027,0.21702746080330557,0.1438669142809872,0.08502105019609563,0.3408060042588653,0.09565636625235815,0.0750057668129951,0.38327305727650574,0.26074363551213436,0.0695825782044172,-0.007980642034084209,-0.18002322653870537,0.20361479180553727,-0.005862574012579759,0.1553093193659945,0.0004348940571071827,0.17615583526057202,0.20307272505800059,0.2624271860268329,0.09032327793488505,0.1144704505217509,0.15143962544010697,0.014889914338506673,0.01702788682072508,0.21446144084658686,0.07089760371141014,0.06857924405303223,0.09799402182822056,0.11080117844572612,0.07462293944777845,0.09015946392537777,0.4379018946625891,0.34126837092723616,0.246288520174056,0.09634784677161912,0.10208060985042643,0.25673037703806123,0.29884627460808116,-0.15478056501317314,0.355198971945715,0.17592749138702854,0.11072326872204259,0.15232664312907299,0.2666288417355358,0.04411973407279757,0.24907007397835365,0.12573362472330782,-0.06878452344843196,-0.0820149469483232,0.22232899460927696,0.08224080807433988,0.02578190163911246,0.28063485278487166,-0.00796663333687321,0.15407109529218696,0.16696930024822867,0.17050568345611117,0.11724755243827208,0.30176069153478374,0.2519587465864082,0.1537996726093036,0.2572446641010648,-0.01188864205547581,0.18310583358929547,0.24982986456494302,0.32048203003243814,0.037388254669101305,0.14268955403816094,0.20193363904417402,0.10892602469193907,0.21666385416105832,0.2045918924053659,0.2489066059960138,0.19707003582935953,0.3407451009823263,0.015685543290205852,-0.1547365585150061,0.08990832600882416,0.21166742647260017,0.13320221511151115,0.3927248721739238,0.22065768623495066,0.06691572587174559,-0.1367034330066167,0.08549956392807698,-0.014723347643604385
arl6ip4,0.25670797538433154,-0.06596406476453436,0.09396686981956007,0.2444335058701913,0.09691354368476474,-0.02953228232218065,0.09611743975460299,0.9999999999999998,0.08470219913967797,0.18113629741770956,0.18843064119085076,-0.02431402656152645,0.11937907326917366,0.09809369955849143,-0.09227348808181178,-0.1615860054060291,0.1448179109468808,-0.0017685182726874622,0.08637902513086657,0.3296722761524051,-0.25328690212476324,0.030755639694383614,0.004053882921532333,-0.1604919722400551,-0.019653832225579367,0.1644252694593576,0.23432198455134093,0.08501344461330844,0.17032566683156036,-0.030769997003928212,-0.009001132433166546,0.0683444614541814,0.11400999426078509,-0.004100722835283746,0.1824032319588389,-0.09210335517703666,0.16639731725199342,0.10139876492282313,-0.10543924925166036,0.06222304375642951,0.006338970769950511,0.24406778258428666,0.13808579041373537,-0.05576754283509049,-0.03158125049397756,0.2548091858936424,0.14724154732332106,0.13579546833495357,0.1145598814556704,-0.0928506474300864,0.002894818552657573,0.20907150863375507,-0.009229723022887094,0.16030010716764326,-0.10028565487212132,-0.009547425937527219,0.19501777833340378,0.15315067867062218,0.050260054967588584,-0.03311345847922337,0.1593052975905565,0.42370289764107305,0.0914251456436773,0.10049663219602599,0.14742582328229045,0.010607705576394214,0.2216070492870235,0.35555137355342814,0.00915102571691323,0.3784436038532303,0.09362422109154901,0.27692228435849375,0.0958901599133352,0.11755288088752942,0.11431981302145768,0.22874151594393347,0.17941041955869488,0.2755592189672912,0.029218090755874997,-0.06025338288645584,0.0050222679980073855,0.24813668998338562,0.31809110171566246,0.3142027875390596,-0.0637950749782894,0.16288900189593508,0.1160373324202615,0.05625597668509088,0.23943331477172144,-0.12914713085632534,0.26734969747079335,0.1057174175990351,0.05893896934112212,0.032726575160884314,-0.08358034717143702,-0.05171123637820869,-0.05736416414581534,0.07464214589308728,0.20920377679590355,0.06384833294798563,0.21961154716300502,0.14372067990250398,-0.0560115910701468,0.11517631791878485,0.09405001424146658,0.03998925441379085,-0.01674296523504649,-0.014795791684985047,0.03573450500787107,0.01692014051329884,0.1193213305722551,0.054186201458622706,0.1685898891862232,0.04701620691016925,0.014978763943245875,0.050301626239916644,0.2306924758178268,0.31266766756509823,0.18794120848038043,-0.07421440179045334,0.13903561016218838,0.05163640942232953,0.18565578966623175,-0.06486776772585807,0.030258969988147373,0.13060848811399683,0.015346768261975511,0.1579215918806886,-0.06309694285813747,-0.04421635573366235,0.04146347024195498,0.1944919293178079
astn1,0.1585410598144887,0.46464864545471724,0.15632034682632553,-0.05352798142836005,0.14877348743786,0.3796814416961272,0.2368416011296341,0.08470219913967797,1.0,0.3438240041707838,0.20285892842891384,0.257763225423059,0.27320264259423044,-0.01290711998909449,0.18485839776745222,0.32310278012098625,0.15875697959739804,0.21520367876721308,0.1825156935613532,0.3569976766215005,-0.032079519259649615,0.18889695233061615,0.0845414396154879,0.11670546205458049,0.3221916839953384,0.21905396556313092,0.33758447061554553,0.2172009381523169,0.13661475754171842,0.4226444368997888,0.29727053052808655,0.1295099681787487,0.03798802302843306,0.46864825600954707,0.276831583916097,0.2724757857810586,0.40571494550240017,0.09831407883408017,0.2982422741208736,0.1506970170074915,0.27053291509851385,0.05640922747331206,0.27086629624899483,0.3034825949899816,0.4343141165783075,0.019731742151620196,0.23355365202636014,0.3614026671232426,0.1467052612546818,0.0961330951320772,0.4461077799094146,0.24468218221646204,0.23689003706673506,0.3861361166038688,0.2919378170410595,0.06374925041174426,0.13070620614213416,-0.01026200892713031,-0.10312007912588327,0.06092537170957954,0.12469356766492522,0.14225456002611614,0.03618131984256225,-0.012452923792457668,0.25628502414510135,0.018639045251314778,0.0739068993445628,0.11420943828373592,0.018628455648026548,0.16754664170241593,0.22319305252134145,0.36848956658913495,0.22822545994229973,0.08723314743220272,0.5341969715472199,0.3260892383411041,0.29014549129179806,0.25232272462873145,0.29357763511766466,0.29526959948448966,0.38787295233920266,0.1920433714659222,0.14000496135824345,0.2187286775325993,0.05480480134617508,0.19355459636891723,0.4090435885577175,0.29690364299623834,0.21802469092089533,0.10866793647307299,-0.005684939725972165,0.15817070538058536,0.15828993214894868,0.09569581157984765,0.05387593204967357,0.16207620597891437,0.21984365977871284,0.040838627924139184,0.6089842967361179,0.2914101258370453,0.09487288337424547,0.004027839933275604,0.27794340365175824,0.2988429521494995,0.0890804664817362,0.10906043834414833,0.23504252999372505,0.119919419945067,-0.14580125018911808,0.01919571019620132,0.1285913907190179,0.3053532711643424,-0.0989489919536866,0.25891697395818974,0.029477616391514454,0.1583540524634851,0.21748791096743372,0.06413538227895328,0.02729091867737676,-0.0064661439740746375,0.12586700094618372,0.07284318260784754,0.19978376876874832,0.13753357132480412,0.30653939015344767,0.14976661294273985,0.2756843684470158,0.2708583039097051,0.3262929840629004,0.0007009009822898146,0.19109127972586099,0.10962414851508902
atxn7,-0.07596928644477821,0.42636136528082724,0.1774073344160344,0.05495675933482104,0.07241233619360328,0.23294628731771988,0.39418253507843687,0.18113629741770956,0.3438240041707838,0.9999999999999998,0.06693964451143328,0.18901381391011293,0.20206266153999758,0.0761894538203023,0.17879964784643043,0.28335151250953805,0.33496687156328003,0.045083502365307594,0.1353488429069757,0.22426020050934373,-0.20100678155819052,0.3453544650176446,0.1874562690862619,0.03195964583435401,0.23236446356391144,0.43922555238923483,0.3819358324966561,0.36298042141594533,0.21418208253707502,0.2894487612176413,0.36808207870354054,0.11926742333515722,0.15003802155404727,0.443429240014108,0.18408096170610694,0.3789521534445727,0.26234849712764335,0.29000685458316516,0.09203527592717849,0.23629776534914107,0.1883905700839909,0.2842053649859492,0.2136893905361202,0.22600865985611,0.11619049198690676,0.2266889128638418,0.10530004499068943,0.19970149837125747,0.0414727254315774,0.06954227201204884,0.46111589455077184,0.22577488503518023,0.13723552028080335,0.39979348718286384,0.38172995280546956,0.15161627789782098,-0.012547745688323994,0.11250616192893172,0.1518316689790808,-0.08597482549661829,0.11170175421780736,0.20045836221834934,0.17867505418372132,-0.11993223007793734,0.16637885049822745,0.15743647823539997,0.23448154496261922,0.1720616319331804,0.10295026345635473,0.06639591349996554,0.21995638778209917,0.3476932767602704,0.265064020094738,0.06776717448531243,0.31654652981563863,0.38970426365051075,0.14666152572727806,0.40374246954118936,0.3754668196032418,0.3434358579643733,0.24547729665223117,0.1694427401246293,0.24795821264254272,0.37047604259924405,-0.0874138088824791,0.4286809616284228,0.2564713559484168,0.2864883406280489,0.2169256339680696,0.2676013417402381,0.15567414239241084,0.1746582556958654,0.14590996732118847,0.07445548939921183,-0.07000567382798732,0.1571686185900365,0.29804513051958476,0.02115244801693398,0.3571228411104688,0.2035476544767895,0.24696082433022712,0.1699803609134582,0.1965597976351916,0.031140795915314122,0.1789842046543305,0.10407497039171498,0.3164335400187838,0.03416131623198351,0.016235531753193918,0.08772248552896832,0.10721444895280255,0.21702111518341158,-0.030964817763132608,0.276229289378426,0.24727860875696211,0.2377151306747211,0.2581081905854377,0.0625116634873118,0.27235200069573157,-0.009904182239369936,0.09363476626485213,0.15138521491594512,0.0507472690011726,-0.009561098052068026,0.29764081174519236,0.1130870056334031,0.2567728184251466,0.3137829692942504,0.30037424039447974,-0.20036537117953,0.17698640688927142,0.1826072580694959
