Location in well All,Location in well Heatshock,Location in well Dark flashes,Location in well Morning 2,Location in well Morning transition 2,Location in well Night 2b,Location in well Night stimulation,Location in well Night 2,Location in well Night transition,Location in well Evening,Location in well Taps,Location in well Day baseline,Location in well Morning stimulation,Location in well Morning transition 1,Location in well Night 1,Features of movement All,Features of movement Heatshock,Features of movement Dark flashes,Features of movement Morning 2,Features of movement Morning transition 2,Features of movement Night 2b,Features of movement Night stimulation,Features of movement Night 2,Features of movement Night transition,Features of movement Evening,Features of movement Taps,Features of movement Day baseline,Features of movement Morning stimulation,Features of movement Morning transition 1,Features of movement Night 1,Frequency of movement All,Frequency of movement Heatshock,Frequency of movement Dark flashes,Frequency of movement Morning 2,Frequency of movement Morning transition 2,Frequency of movement Night 2b,Frequency of movement Night stimulation,Frequency of movement Night 2,Frequency of movement Night transition,Frequency of movement Evening,Frequency of movement Taps,Frequency of movement Day baseline,Frequency of movement Morning stimulation,Frequency of movement Morning transition 1,Frequency of movement Night 1
adamtsl3,-0.025418688,0.72175,-0.30225,0.578,-0.016954173,0.548375,-0.025333333,-0.426,-0.332683543,-0.61025,-0.688375,-0.547875,-0.51225,-0.480401868,-0.428125,-0.286036456,-0.258285714,-0.317071429,-0.383571429,-0.346029868,0.632,-0.4445,-0.634214286,-0.448683727,-0.426428571,0.008,-0.03075,0.287214286,-0.376960884,-0.628785714,-0.234979987,-0.386916667,-0.231666667,-0.019555556,-0.024772693,0.294833333,-0.505166667,0.59775,-0.299572464,-0.439666667,-0.100916667,-0.18675,-0.146333333,-0.531752469,-0.414
akt3b,-0.170790451,-0.158625,-0.30025,0.17725,0.336135452,-0.15375,0.2285,-0.41175,0.189824827,-0.327,0.2195,-0.269875,-0.092125,-0.166508211,0.279875,0.020393436,0.028,-0.327857143,-0.353928571,0.474246004,0.0145,-0.009666667,-0.025714286,-0.02995313,-0.240571429,0.004166667,0.007,0.011555556,0.382950618,0.296642857,-0.006739312,0.0015,-0.004875,-0.037,-0.023949781,-0.024833333,-0.003909091,-0.001,-0.007862671,-0.001875,-0.005777778,-0.004555556,-0.002,-0.235237528,-0.004375
ambra1,0.013779851,0.429125,0.015,0.0052,-0.269357973,0.0258,0.18375,0.2225,0.165055264,0.273,0.03825,0.001,-0.01425,-0.017275472,0.152125,0.017488428,0.024857143,0.006375,0.012888889,0.413614646,0.016714286,0.01225,-0.0084,0.019854951,0.03325,0.006,-0.009285714,0.004,0.247072456,0.01975,-0.204583682,0.0024,0.332,-0.00975,0.02475,-0.116666667,0.297333333,-0.017,0.010702908,-0.176833333,-0.364583333,-0.0136,-0.0106,0.531917681,-0.001285714
anp32e,0.087342629,-0.337625,0.019833333,0.02325,0.222744332,0.489625,-0.012428571,-0.07925,0.40769798,-0.033,0.023,0.0265,0.243125,-0.394010342,0.530375,-0.019833207,-0.312928571,-0.02,-0.235928571,-0.355972395,0.380357143,-0.433857143,0.00725,-0.526773621,0.0126,-0.009111111,-0.0262,-0.396357143,0.392956414,0.255785714,-0.131225866,0.386166667,-0.115583333,-0.429416667,-0.205878628,0.54125,0.373833333,-0.284666667,-0.315637178,-0.00525,-0.185916667,-0.15,-0.0288,0.603340112,-0.215666667
apopt1,0.084159279,0.338,0.18675,0.139,0.361228189,-0.146375,-0.015833333,-0.35225,-0.455869548,0.2615,0.07,0.012,0.183625,0.245167141,-0.227625,0.685962531,-0.374571429,-0.601357143,0.389714286,-0.491599912,0.463928571,0.582071429,0.501428571,0.559207117,0.312714286,0.603071429,0.146928571,0.227714286,0.461987519,0.022,-0.63612941,0.515583333,-0.354666667,-0.4895,0.442111554,0.49075,0.630083333,-0.0232,0.494035637,0.404833333,0.66,0.374,-0.441916667,0.312388501,-0.410666667
arhgap1,0.021966246,-0.315,0.173125,0.00775,0.03239486,-0.358,0.21025,0.27825,0.293293035,0.0085,-0.47675,0.14175,0.021833333,0.139823153,0.126875,0.010064902,0.285071429,0.330571429,0.0175,0.355872199,0.019,0.018,0.217571429,-0.330577281,0.388785714,0.017857143,-0.317714286,0.217857143,0.350362778,0.311928571,-0.006415536,-0.0155,-0.010444444,-0.0125,0.190913264,-0.0075,0.0115,-0.019125,-0.019982785,-0.0285,-0.006375,-0.011833333,-0.303583333,-0.201684056,-0.008454545
arl3,-0.641993301,-0.59875,0.61275,-0.28975,-0.419035386,-0.313,0.594125,-0.642375,-0.623264933,-0.7,-0.35475,0.5715,-0.68575,0.56305257,-0.71525,0.01960055,-0.473642857,-0.273428571,-0.49,0.450334067,0.0215,-0.471285714,0.0045,0.351384312,0.01525,0.3615,-0.5335,0.0125,0.590908101,0.4665,-0.004033847,-0.598083333,-0.004333333,-0.1705,-0.738878616,-0.386,-0.02175,-0.004111111,-0.009056079,-0.007,-0.0032,-0.014111111,-0.271583333,-0.4595822,-0.24125
arl6ip4,-0.545480907,-0.287875,0.562625,-0.284625,-0.648598973,-0.44325,-0.025,-0.2795,-0.263501542,-0.63675,-0.6155,0.58625,-0.68525,-0.102596054,-0.465125,0.326688635,0.319357143,-0.337,0.3445,0.439869347,-0.394928571,0.321428571,-0.7045,0.314322224,0.0116,-0.02325,0.448285714,0.483071429,0.443708834,0.428071429,-0.556436005,0.537166667,0.4235,-0.571333333,0.393863438,-0.70325,0.627,0.3755,0.334747829,-0.26825,-0.491583333,-0.29675,-0.623666667,-0.496688829,-0.548916667
astn1,0.167903992,-0.5165,0.48675,-0.440875,0.00875,0.336125,0.33875,-0.360375,0.392680554,0.16825,0.055875,0.235125,0.264,0.359123943,-0.379875,-0.022462155,-0.002166667,-0.0045,-0.023857143,-0.277266894,-0.019714286,-0.0108,-0.408214286,-0.44475641,-0.3115,-0.016428571,-0.011875,0.0072,0.024406489,-0.337571429,-0.0314133,-0.335916667,-0.018142857,-0.007,-0.347580236,-0.29625,-0.0095,-0.03775,-0.233869996,0.005333333,-0.22,-0.258333333,-0.425416667,-0.229702506,-0.015375
atxn7,-0.506474618,-0.252125,-0.224875,0.145125,0.309581153,-0.157375,-0.288875,0.5265,-0.313036794,0.403875,0.476125,-0.377625,0.406,0.35730809,0.3195,-0.002821874,0.383214286,-0.0065,-0.247428571,-0.009350375,-0.415857143,-0.0144,-0.0206,0.443446068,-0.019333333,-0.0118,-0.413642857,-0.007,-0.411408227,-0.0264,0.019515286,-0.002166667,0.014,0.247583333,0.25446907,0.329,0.015444444,0.38225,-0.343269577,0.024333333,0.0075,0.024111111,0.228916667,0.019097511,0.021714286
bag5,0.026346978,0.293875,0.0735,0.018285714,0.347978964,0.014,0.1625,-0.51425,-0.420410918,0.16525,0.297625,0.08625,0.1515,-0.409433825,0.02525,0.295940909,0.002,0.294428571,0.236,0.396595143,-0.301071429,0.190714286,0.351285714,0.502138933,0.4615,0.387714286,0.295714286,0.0215,0.55920266,-0.489714286,0.308457278,0.349666667,0.398583333,0.380916667,0.282696902,0.26125,0.21375,0.245583333,0.410900746,0.365583333,0.72025,-0.671916667,-0.023,0.417628199,-0.4095
bcl11b,-0.007218615,-0.0188,-0.00375,-0.0065,0.010871342,-0.196125,0.530875,-0.104,-0.248830396,-0.003166667,-0.00775,-0.023333333,0.001666667,-0.007693063,-0.1465,0.006813425,0.006,0.001,0.008,0.29641541,-0.296714286,0.0176,-0.0116,0.028754245,0.003555556,0.004777778,0.0015,-0.009833333,0.413225477,0.0105,0.000492605,0.001625,0.002666667,0.002,0.015174817,0.0172,0.001,0.015,0.008536597,0.003181818,0.0035,0.001166667,0.008428571,0.24381218,0.02
c10orf32,-0.349547637,-0.576625,0.17125,-0.436625,-0.470283187,0.531,-0.273,-0.137625,-0.415338723,-0.364625,0.53425,0.107875,-0.296,-0.022857686,-0.0172,0.016298247,0.014666667,0.0095,0.385857143,-0.363895646,0.341214286,0.287571429,0.335357143,0.567175354,0.017571429,0.195214286,0.0112,0.01925,-0.008999706,0.285571429,-0.304597865,0.0186,-0.017166667,0.489833333,-0.372982377,0.3135,-0.41925,0.0015,0.576119258,-0.294333333,-0.407916667,-0.294666667,-0.473333333,0.13831266,-0.017833333
